x,y
43.25,419.7200164794922
47.625579833984375,419.71173095703125
52.0013427734375,419.7034454345703
56.37701416015625,419.6951599121094
60.752685546875,419.68687438964844
65.12835693359375,419.6785888671875
69.50411987304688,419.67030334472656
73.87979125976562,419.6620178222656
78.25550842285156,419.6537322998047
82.63113403320312,419.64544677734375
87.00685119628906,419.6371612548828
91.382568359375,419.6288757324219
95.75823974609375,419.62059020996094
100.13395690917969,419.6122589111328
104.50962829589844,419.6039733886719
108.88529968261719,419.59568786621094
113.26101684570312,419.58740234375
117.63668823242188,419.57911682128906
122.01240539550781,419.5708312988281
126.38807678222656,419.5625457763672
130.7637939453125,419.55426025390625
135.13941955566406,419.5459747314453
139.51513671875,419.5376892089844
143.89085388183594,419.52940368652344
148.2665252685547,419.5211181640625
152.64224243164062,419.51283264160156
157.01791381835938,419.5045471191406
161.39358520507812,419.4962615966797
165.76930236816406,419.48797607421875
170.1449737548828,419.4796905517578
174.52069091796875,419.4714050292969
178.8963623046875,419.46311950683594
183.27203369140625,419.454833984375
187.6477508544922,419.44654846191406
192.02342224121094,419.4382629394531
196.39913940429688,419.4299774169922
200.7748565673828,419.42169189453125
205.15052795410156,419.4134063720703
209.5261993408203,419.4051208496094
213.90187072753906,419.39678955078125
218.277587890625,419.3885040283203
222.65325927734375,419.3802185058594
227.0289764404297,419.37193298339844
231.40469360351562,419.3636474609375
235.7803192138672,419.35536193847656
240.15603637695312,419.3470764160156
244.53175354003906,419.3387908935547
248.9074249267578,419.33050537109375
253.28309631347656,419.3222198486328
257.6588134765625,419.3139343261719
262.03448486328125,419.30564880371094
266.41015625,419.29736328125
270.78587341308594,419.28907775878906
275.1615905761719,419.2807922363281
279.5372619628906,419.2725067138672
283.91297912597656,419.26422119140625
288.2886505126953,419.2559356689453
292.66432189941406,419.2476501464844
297.0399932861328,419.23936462402344
301.41571044921875,419.2310791015625
305.7914276123047,419.22279357910156
310.16709899902344,419.2145080566406
314.5427703857422,419.2062225341797
318.9184875488281,419.19793701171875
323.2941589355469,419.1896514892578
327.6698760986328,419.1813201904297
332.04559326171875,419.17303466796875
336.4212188720703,419.1647491455078
340.79689025878906,419.1564636230469
345.172607421875,419.14817810058594
349.54832458496094,419.139892578125
353.9239959716797,419.13160705566406
358.2997131347656,419.1233215332031
362.6753845214844,419.1150360107422
367.0510559082031,419.10675048828125
371.42677307128906,419.0984649658203
375.802490234375,419.0901794433594
380.17816162109375,419.08189392089844
384.5538330078125,419.0736083984375
388.92950439453125,419.06532287597656
393.3052215576172,419.0570373535156
397.68089294433594,419.0487518310547
402.0566101074219,419.04046630859375
406.4323272705078,419.0321807861328
410.80799865722656,419.0238952636719
415.1836242675781,419.01560974121094
419.55938720703125,419.00732421875
423.93505859375,418.99903869628906
428.31077575683594,418.9907531738281
432.6864471435547,418.9824676513672
437.0621643066406,418.97418212890625
441.4377899169922,418.9658508300781
445.8135070800781,418.9575653076172
450.1891784667969,418.94927978515625
454.5648956298828,418.9409942626953
458.94061279296875,418.9327087402344
463.3162841796875,418.92442321777344
467.69195556640625,418.9161376953125
472.067626953125,418.90785217285156
476.44334411621094,418.8995666503906
480.8190612792969,418.8912811279297
485.1947326660156,418.88299560546875
489.5704040527344,418.8747100830078
493.9460754394531,418.8664245605469
498.32179260253906,418.85813903808594
502.697509765625,418.849853515625
507.07318115234375,418.84156799316406
511.4488525390625,418.8332824707031
515.8245239257812,418.8249969482422
520.2002868652344,418.81671142578125
524.5759582519531,418.8084259033203
528.9516296386719,418.8001403808594
533.3273468017578,418.79185485839844
537.7029724121094,418.7835693359375
542.0787353515625,418.77528381347656
546.4544067382812,418.7669982910156
550.830078125,418.7587127685547
555.2057952880859,418.75038146972656
559.5814666748047,418.7420959472656
563.9571838378906,418.7338104248047
568.3328552246094,418.72552490234375
572.7085266113281,418.7172393798828
577.0842437744141,418.7089538574219
581.4599151611328,418.70066833496094
585.8356323242188,418.6923828125
590.2113037109375,418.68409729003906
594.5869750976562,418.6758117675781
598.9626922607422,418.6675262451172
603.3383636474609,418.65924072265625
607.7140808105469,418.6509552001953
612.0897521972656,418.6426696777344
616.4654235839844,418.63438415527344
620.8411865234375,418.6260986328125
625.2168121337891,418.61781311035156
629.592529296875,418.6095275878906
633.9682464599609,418.6012420654297
638.3438720703125,418.59295654296875
642.7196350097656,418.5846710205078
647.0952606201172,418.5763854980469
651.4709777832031,418.56809997558594
655.8466949462891,418.559814453125
660.2223663330078,418.55152893066406
664.5980834960938,418.5432434082031
668.9737548828125,418.534912109375
673.3494262695312,418.52662658691406
677.7251434326172,418.5183410644531
682.1008148193359,418.5100555419922
686.4765319824219,418.50177001953125
690.8522033691406,418.4934844970703
695.2278747558594,418.4851989746094
699.6035919189453,418.47691345214844
703.9792633056641,418.4686279296875
708.35498046875,418.46034240722656
712.7306518554688,418.4520568847656
717.1063232421875,418.4437713623047
721.4819946289062,418.43548583984375
725.8577117919922,418.4272003173828
730.2334289550781,418.4189147949219
734.6091003417969,418.41062927246094
738.9848175048828,418.40234375
743.3604888916016,418.39405822753906
747.7361602783203,418.3857727050781
752.1118774414062,418.3774871826172
756.487548828125,418.36920166015625
760.8632659912109,418.3609161376953
765.2389373779297,418.3526306152344
769.6146545410156,418.34434509277344
773.9903259277344,418.3360595703125
778.3659973144531,418.32777404785156
782.7417144775391,418.31944274902344
787.1173858642578,418.3111572265625
791.4931030273438,418.30287170410156
795.8687744140625,418.2945861816406
800.2444458007812,418.2863006591797
804.6202087402344,418.27801513671875
808.9957885742188,418.2697296142578
